run_name,timestamp,verdict,delta_vs_best,duration_s,c364_macro_f1,c364_macro_f1_std,c364_weighted_f1,c364_weighted_f1_std,c364_balanced_acc,c364_balanced_acc_std,c364_accuracy,c364_accuracy_std,c364_roc_auc,c364_roc_auc_std,c364_single_macro_f1,c364_n_eval_folds,c364_n_recordings,all700_macro_f1,all700_macro_f1_std,all700_weighted_f1,all700_weighted_f1_std,all700_balanced_acc,all700_balanced_acc_std,all700_accuracy,all700_accuracy_std,all700_roc_auc,all700_roc_auc_std,all700_single_macro_f1,all700_n_eval_folds,all700_n_recordings,all700_unpruned_macro_f1,all700_mean_members,all700_mean_members_unpruned,c364_unpruned_macro_f1,c364_mean_members,c364_mean_members_unpruned
s0_smoke,2026-08-14 23:43:24,FIRST RUN,,254.83713459968567,0.672261782055764,0.0622744711854539,0.7474193504536457,0.0477526338522459,0.6586961780358006,0.0542146685025621,0.7637366818873668,0.0487939332574605,0.7358521667012232,0.047561086378001,0.6530445442587302,5.0,364.0,,,,,,,,,,,,,,,,,,,
s1_baseline_raw,2026-08-15 01:09:00,FIRST RUN,,3593.8442854881287,0.6517560177467299,0.0607833928684157,0.7301673681507432,0.0478105184901413,0.6444481304858664,0.056653786272211,0.7472602739726028,0.0526328752148989,0.6998590089156127,0.0367322942144002,0.6481366600493252,5.0,364.0,0.7418668620887441,0.0337984843701319,0.7425866427799492,0.0338442214457102,0.7420328517956815,0.0338753317675822,0.7428571428571429,0.0338815463589469,0.8091040874520734,0.0558216838587043,0.7429494254450948,5.0,700.0,,,,,,
s2_views_relz,2026-08-15 02:48:38,NEW BEST,0.0098806325929472,5915.2579391002655,,,,,,,,,,,,,,0.7517474946816913,0.0324007647084465,0.7524946796822032,0.0327138952085823,0.7516897354967279,0.0319054718995227,0.7528571428571429,0.0333503357997964,0.8133181321690829,0.0498061380198975,0.7336596780902254,5.0,700.0,,,,,,
s3_prune,2026-08-15 03:58:09,no improvement,-0.0011977505302624,4044.1234800815582,,,,,,,,,,,,,,0.7505497441514288,0.0353489140267914,0.751188902955401,0.0355257734619714,0.7507434303692738,0.0348009615681758,0.7514285714285714,0.0358568582800318,0.8154468896137267,0.0503548088469339,0.7336596780902254,5.0,700.0,0.7463702715109953,40.4,66.0,,,
s4_windows,2026-08-15 05:27:44,NEW BEST,0.0054155676012654,5061.905678987503,,,,,,,,,,,,,,0.7571630622829568,0.0454516106156371,0.7580071747890204,0.0455879603527398,0.7569532516475882,0.0449722381871261,0.7585714285714286,0.0458480186739463,0.8228119189987927,0.0490233338364117,0.7336596780902254,5.0,700.0,0.7540456769104222,49.2,75.4,,,
s0_win_smoke,2026-08-15 05:30:36,no improvement,,97.87059688568117,0.6356221564614476,0.0665327545640686,0.7030738733483007,0.0709735740316611,0.6335465477918307,0.0476636032798883,0.7062404870624048,0.0905663634752647,0.6698579722164627,0.0583531295687346,0.6199999395231638,5.0,364.0,,,,,,,,,,,,,,,,,0.645271581748804,3.2,3.4
s5_final,2026-08-15 08:38:10,NEW BEST,0.0032382681777981537,11205.665392875671,0.6435147315800517,0.056358225462236566,0.7162660731283035,0.04735161870333759,0.6385320340037322,0.05368513811141187,0.7225646879756469,0.050435510206335805,0.6963699979266018,0.05089207382743611,0.6340074773108824,5.0,364.0,0.760401330460755,0.03743419097763792,0.7611505441617409,0.03762125693361509,0.760184378166386,0.03702115267447704,0.7614285714285713,0.03799838879505823,0.8225673909071987,0.04947825475589191,0.7336596780902254,5.0,700.0,0.7574732653351267,54.4,83.4,0.645979112670323,50.0,79.0
