iter	Logloss
0	0.6722290475
1	0.6478941127
2	0.6290391759
3	0.6097083391
4	0.5888286482
5	0.5735682024
6	0.5601080758
7	0.5454760742
8	0.5322201974
9	0.5160885184
10	0.5007074847
11	0.4847191075
12	0.4710476685
13	0.458596453
14	0.4436410086
15	0.433263201
16	0.4241758946
17	0.4100259835
18	0.4001294817
19	0.3906140137
20	0.3804857091
21	0.3711659895
22	0.3582875061
23	0.3488688442
24	0.3411348615
25	0.3308811297
26	0.3218980626
27	0.314031808
28	0.3058520508
29	0.2966428702
30	0.2898749869
31	0.2828197806
32	0.2765231323
33	0.2683299691
34	0.2615605382
35	0.2538948931
36	0.248342307
37	0.2424718802
38	0.2356971741
39	0.2296621486
40	0.2245775931
41	0.2181055341
42	0.2133359637
43	0.208315931
44	0.2039748056
45	0.1989392526
46	0.1942088318
47	0.1900946481
48	0.1855826678
49	0.1820056806
50	0.1770787157
51	0.1738286482
52	0.1701530566
53	0.1665430777
54	0.1627341788
55	0.1598119572
56	0.1569000026
57	0.1534626988
58	0.1493390002
59	0.1462729754
60	0.1428240967
61	0.1397518703
62	0.1373169926
63	0.1342538343
64	0.1321310425
65	0.1290110343
66	0.1261899022
67	0.1239015089
68	0.121392092
69	0.1191769409
70	0.116660505
71	0.1140900966
72	0.1117926461
73	0.1089378793
74	0.1072465406
75	0.105047324
76	0.1025145939
77	0.1005198015
78	0.09875773839
79	0.09631716047
80	0.09429589408
81	0.09260750907
82	0.090761043
83	0.08886686053
84	0.08717046465
85	0.08524591718
86	0.08302901132
87	0.08136705671
88	0.0798525674
89	0.07820631845
90	0.07694332668
91	0.07534120832
92	0.07359021323
93	0.07242657253
94	0.07130771637
95	0.06989892142
96	0.06840055193
97	0.06680858612
98	0.06570459093
99	0.06432798113
100	0.06293623788
101	0.06189048767
102	0.06088065011
103	0.0597656468
104	0.05872969491
105	0.05775668553
106	0.05666567666
107	0.05577222007
108	0.05437266759
109	0.05323436192
110	0.05213093349
111	0.05126110622
112	0.05034036909
113	0.0495646286
114	0.04870532445
115	0.04776006426
116	0.04695030212
117	0.04603080205
118	0.04522299903
119	0.04436696189
120	0.04359403338
121	0.04271408898
122	0.04187775203
123	0.04140843528
124	0.04061333248
125	0.03989936284
126	0.03923233577
127	0.03860011509
128	0.0379864175
129	0.03754856927
130	0.03707106727
131	0.03638809204
132	0.03577278137
133	0.03517703465
134	0.03473717008
135	0.03408071245
136	0.0335758073
137	0.03308041981
138	0.03264268058
139	0.0321075276
140	0.03153991699
141	0.03112001147
142	0.03063395091
143	0.03014718737
144	0.02974388395
145	0.02940292903
146	0.02891584669
147	0.02858858381
148	0.02819948741
149	0.02783069066
150	0.02743774959
151	0.02701630184
152	0.02667325429
153	0.02630516597
154	0.02585966383
155	0.02552682059
156	0.02516941616
157	0.024817979
158	0.02447172982
159	0.0241651753
160	0.02394103459
161	0.02364688601
162	0.02337060928
163	0.02306265422
164	0.02268421037
165	0.02241273199
166	0.02210977009
167	0.02182128361
168	0.02159347398
169	0.021292696
170	0.02100919587
171	0.02074807712
172	0.02052580697
173	0.02030960764
174	0.02008594785
175	0.01979888371
176	0.0195512213
177	0.01938494001
178	0.01910366603
179	0.01888754436
180	0.01868577276
181	0.01851189205
182	0.01831814902
183	0.01810002736
184	0.01791913577
185	0.01775060109
186	0.01756069728
187	0.01737382071
188	0.0171593598
189	0.01697905132
190	0.01683211327
191	0.01662370409
192	0.01641443525
193	0.01621518816
194	0.01602076939
195	0.01584628786
196	0.01566702706
197	0.01551518304
198	0.01535602297
199	0.01518968582
200	0.01504414422
201	0.01486182349
202	0.01473509925
203	0.01457576207
204	0.01441900253
205	0.01425002916
206	0.01410591943
207	0.01398422514
208	0.01383398056
209	0.0136908068
210	0.01353962217
211	0.01339445659
212	0.01324463163
213	0.01312856129
214	0.01298113142
215	0.01281959125
216	0.01271322795
217	0.0125840732
218	0.01245508466
219	0.01232430867
220	0.01219494138
221	0.0120762607
222	0.01194801603
223	0.01184497833
224	0.01172928129
225	0.01162504741
226	0.01153523036
227	0.01143468721
228	0.01132001536
229	0.0111905132
230	0.01107719081
231	0.01098706109
232	0.01088244847
233	0.0107865715
234	0.01067739487
235	0.01059656961
236	0.0105147859
237	0.01043331964
238	0.01035759177
239	0.01029092857
240	0.01022054808
241	0.01013626235
242	0.0100547811
243	0.009981486457
244	0.009903832844
245	0.009823480334
246	0.009759669985
247	0.009665973527
248	0.009579068593
249	0.009513624736
250	0.009444879804
251	0.009357342039
252	0.009303373609
253	0.009228066717
254	0.009159509114
255	0.00906632764
256	0.009016885757
257	0.008941816602
258	0.008870738574
259	0.008797847884
260	0.008740952356
261	0.008664757184
262	0.008606471334
263	0.00854564258
264	0.008488909858
265	0.008444922311
266	0.00838802542
267	0.008316785267
268	0.008271002088
269	0.008223293849
270	0.008164003917
271	0.008099651337
272	0.008042082105
273	0.007984260832
274	0.007951731001
275	0.007897276197
276	0.007842731476
277	0.007789609092
278	0.007743045943
279	0.007688481467
280	0.00763407026
281	0.00758392334
282	0.007530980791
283	0.007476590702
284	0.007434905597
285	0.007385361535
286	0.007335104942
287	0.007279308864
288	0.007227374486
289	0.007177017757
290	0.007130154201
291	0.007070998464
292	0.007025175095
293	0.006979844911
294	0.006940026964
295	0.006893603461
296	0.006856438773
297	0.006821282251
298	0.006784162521
299	0.006730983598
