variant,n_missing,f1_macro,ci_lo,ci_hi,rel_drop_vs_full
static,0,0.4237199837199837,0.3718518518518519,0.5032967032967033,0.0
static,1,0.4080475515769633,0.35751430668097334,0.4641413546511585,0.036987710623007874
static,2,0.34880069836130506,0.27704284268336454,0.41530902919857426,0.17681319795431039
temporal,0,0.4696296296296296,0.38370370370370366,0.5851851851851851,0.0
temporal,1,0.4487589396185099,0.39873820924295694,0.5075543221978754,0.04444074371452944
temporal,2,0.42746179875615153,0.3854429317327868,0.4703811054845537,0.08978954523532401
