condition,metric,temporal_mean,static_mean,delta,delta_ci_lo,delta_ci_hi,p_value,n_pairs
full,bin_f1_macro,0.4696296296296296,0.4237199837199837,0.04590964590964587,-0.05714285714285719,0.1948717948717948,0.5741,4
full,bin_accuracy,0.734375,0.640625,0.09375,0.0,0.1875,0.1247,4
