variant,condition,lo,hi,n,acc,conf
temporal,no_audio,0.8500000000000001,0.9,10,0.8,0.8605271399021148
temporal,no_audio,0.9,0.95,0,,
temporal,no_audio,0.95,1.0,0,,
temporal,no_physio,0.5,0.55,5,0.6,0.511962103843689
temporal,no_physio,0.55,0.6,8,0.875,0.579133402556181
temporal,no_physio,0.6,0.65,7,0.7142857142857143,0.633494326046535
temporal,no_physio,0.65,0.7,9,0.7777777777777778,0.6722675694359673
temporal,no_physio,0.7,0.75,11,0.5454545454545454,0.7256086522882635
temporal,no_physio,0.75,0.8,4,0.25,0.7721127867698669
temporal,no_physio,0.8,0.8500000000000001,6,0.6666666666666666,0.8345260421435038
temporal,no_physio,0.8500000000000001,0.9,13,0.8461538461538461,0.8699014966304486
temporal,no_physio,0.9,0.95,1,1.0,0.9167540073394777
temporal,no_physio,0.95,1.0,0,,
temporal,no_video,0.5,0.55,0,,
temporal,no_video,0.55,0.6,3,1.0,0.580653707186381
temporal,no_video,0.6,0.65,7,0.8571428571428571,0.6234049882207598
temporal,no_video,0.65,0.7,10,0.9,0.6775586426258087
temporal,no_video,0.7,0.75,14,0.5714285714285714,0.7208328715392521
temporal,no_video,0.75,0.8,3,0.3333333333333333,0.766706109046936
temporal,no_video,0.8,0.8500000000000001,12,0.5833333333333334,0.8245893915494283
temporal,no_video,0.8500000000000001,0.9,9,0.7777777777777778,0.8818590641021729
temporal,no_video,0.9,0.95,6,1.0,0.9050630728403727
temporal,no_video,0.95,1.0,0,,
temporal,physio_only,0.5,0.55,5,1.0,0.50550776720047
temporal,physio_only,0.55,0.6,6,0.8333333333333334,0.5878620545069376
temporal,physio_only,0.6,0.65,7,0.8571428571428571,0.6136838623455593
temporal,physio_only,0.65,0.7,10,0.6,0.6728864729404449
temporal,physio_only,0.7,0.75,13,0.5384615384615384,0.7287135628553537
temporal,physio_only,0.75,0.8,4,0.5,0.7740972638130188
temporal,physio_only,0.8,0.8500000000000001,6,0.8333333333333334,0.8290234406789144
temporal,physio_only,0.8500000000000001,0.9,10,0.8,0.8705811560153961
temporal,physio_only,0.9,0.95,3,1.0,0.9293526609738668
temporal,physio_only,0.95,1.0,0,,
temporal,video_only,0.5,0.55,7,0.7142857142857143,0.5211057492664882
temporal,video_only,0.55,0.6,10,0.3,0.5814976841211319
temporal,video_only,0.6,0.65,12,0.75,0.6221772854526838
temporal,video_only,0.65,0.7,14,0.42857142857142855,0.6727149954863957
temporal,video_only,0.7,0.75,4,0.5,0.7274856418371201
temporal,video_only,0.75,0.8,5,0.8,0.7845893740653992
temporal,video_only,0.8,0.8500000000000001,12,0.8333333333333334,0.8198734472195307
temporal,video_only,0.8500000000000001,0.9,0,,
temporal,video_only,0.9,0.95,0,,
temporal,video_only,0.95,1.0,0,,
