variant,condition,metric,mean,ci_lo,ci_hi,n_runs
static,full,aff_recall_class0,0.20833333333333331,0.0,0.41666666666666663,4
temporal,full,aff_recall_class0,0.0,0.0,0.0,4
static,full,aff_recall_class1,0.3645833333333333,0.21875,0.5,4
temporal,full,aff_recall_class1,0.16666666666666666,0.0625,0.25,4
static,full,aff_recall_class2,0.7161616161616162,0.47777777777777775,0.9545454545454546,4
temporal,full,aff_recall_class2,0.729040404040404,0.6318181818181818,0.8416666666666667,4
static,full,aff_f1_macro,0.39510582010582007,0.2685185185185185,0.549074074074074,4
temporal,full,aff_f1_macro,0.27067402498988175,0.23559120617944146,0.3057568438003221,4
