protocol,clf,features,accuracy,acc_std,f1_macro,f1_std
groupkfold,logreg,physio,0.6458333333333334,0.06909634979907087,0.6420358241931666,0.06650493101958273
groupkfold,logreg,audio,0.7083333333333334,0.10622957319984967,0.7041515489341577,0.10923524568741684
groupkfold,logreg,video,0.5104166666666666,0.034548174899535405,0.5026777087646653,0.037266020541170626
groupkfold,logreg,feature_fusion,0.7083333333333333,0.06588078458684123,0.7052616948269124,0.0672940553153432
groupkfold,logreg,decision_fusion,0.7083333333333334,0.07795119555779047,0.7053964553964553,0.07910430685281282
groupkfold,rf,physio,0.6770833333333333,0.08526409137367137,0.6674862174862175,0.08724815947068772
groupkfold,rf,audio,0.6770833333333334,0.12968645414571595,0.6697130757929306,0.13131397602367514
groupkfold,rf,video,0.5833333333333333,0.1141088661469096,0.5761904761904761,0.11962002306225962
groupkfold,rf,feature_fusion,0.75,0.14129854131510974,0.7470945479641131,0.13929345874703009
groupkfold,rf,decision_fusion,0.6875,0.13339842161318435,0.6783690900750792,0.13695246659041402
random_kfold_LEAKY,logreg,physio,0.7083333333333333,0.06588078458684123,0.68991214267648,0.07639708449456835
random_kfold_LEAKY,logreg,audio,0.7395833333333334,0.07438987946398803,0.7096514596514596,0.11097247005718763
random_kfold_LEAKY,logreg,video,0.53125,0.045405197328548697,0.500199111707599,0.032258343166896825
random_kfold_LEAKY,logreg,feature_fusion,0.6874999999999999,0.062499999999999986,0.6499080080803151,0.0834231388807268
random_kfold_LEAKY,logreg,decision_fusion,0.7083333333333334,0.05103103630798288,0.6682276329335153,0.07259945008363239
random_kfold_LEAKY,rf,physio,0.6874999999999999,0.062499999999999986,0.670864523628861,0.07005710174982334
random_kfold_LEAKY,rf,audio,0.7395833333333333,0.09936866681426518,0.7102882598345392,0.1292369718051912
random_kfold_LEAKY,rf,video,0.6041666666666667,0.06250000000000001,0.5723622782446312,0.07879856147632842
random_kfold_LEAKY,rf,feature_fusion,0.7604166666666666,0.08001193487363134,0.7277004772467568,0.11536892499086426
random_kfold_LEAKY,rf,decision_fusion,0.7395833333333334,0.07438987946398803,0.7161417743140814,0.09323070099400761
